Model ID,Status,,Maps,VPO,Method,nTrMols,nTsMols,External Pred,r&sup2; STE,q&sup2;<sub>cv</sub> STE,q&sup2;<sub>ext</sub> STE,Optimal PC STE,r&sup2; ELE,q&sup2;<sub>cv</sub> ELE,q&sup2;<sub>ext</sub> ELE,Optimal PC ELE,r&sup2; SUM,q&sup2;<sub>cv</sub> SUM,q&sup2;<sub>ext</sub> SUM,Optimal PC SUM,r&sup2; COMBINED,q&sup2;<sub>cv</sub> COMBINED,q&sup2;<sub>ext</sub> COMBINED,Optimal PC COMBINED,|,COMBINED CV Score,COMBINED Pred Score,COMBINED Full Score,|,MixedFields CV Score,MixedFields Pred Score,MixedFields Full Score,|,AllFields CV Score,AllFields Pred Score,AllFields Full Score,|,Probe,Probe Charge,Charge Model,Min Sigma,Scaling,Max N Components,Grid Spacing,Grid Extension,Diel Const,CutOff,CutOff (2),# Level,CV Type,CV Groups,CV Iters,CV Random,Min SDEP Increment,SA Opt,SA Ti,SA Tf,SA cool factor,SA Min Vars,Y-Scrambling,Y-S Iterations
205461,completed,Results,Missing,true,TRIPOS,36,6,True,0.443,0.104,-0.963,1,0.168,-0.097,0.386,1,0.446,-0.046,-1.115,1,0.471,-0.016,-0.664,1,|,0.323,-0.109,0.087,|,0.313,-0.260,-0.026,|,0.324,-0.096,0.081,|,C.3.H1,1,eem2015hm,0.700,true,8,3.500,3.000,30.000,12.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205462,completed,Results,Missing,true,EasyMIF,36,6,True,0.958,0.192,-3.678,5,0.592,-0.104,-1.692,1,0.709,-0.011,-1.719,1,0.659,0.005,-1.531,1,|,0.337,-0.687,-0.375,|,0.331,-0.750,-0.427,|,0.347,-1.103,-0.696,|,Cl,1,qeq,0.600,true,8,1.800,4.000,42.000,8.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205463,completed,Results,Missing,true,O3G,36,6,True,0.615,-0.134,0.112,2,0.367,0.184,0.309,1,0.896,0.613,0.375,3,0.842,0.415,0.436,2,|,0.610,0.624,0.640,|,0.676,0.603,0.640,|,0.513,0.539,0.553,|,O.3,1,eem2015ha,0.500,true,8,2.700,6.000,30.000,7.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205464,completed,Results,Missing,true,EasyMIF,36,6,True,0.612,0.013,0.290,2,0.699,0.423,0.758,2,0.744,0.330,0.824,2,0.787,0.426,0.722,2,|,0.617,0.815,0.702,|,0.585,0.822,0.677,|,0.532,0.743,0.627,|,Br,1,gasteiger,1.000,true,8,1.300,8.000,40.000,19.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205465,completed,Results,Missing,true,O3G,36,6,True,0.900,-0.051,-0.394,5,0.473,0.244,0.470,1,0.462,0.228,0.403,1,0.521,0.260,0.385,1,|,0.507,0.590,0.607,|,0.496,0.596,0.606,|,0.447,0.477,0.494,|,OH2,1,eem2015bm,0.600,true,8,2.300,6.000,40.000,26.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205468,completed,Results,Missing,true,TRIPOS,36,6,True,0.394,-0.057,-0.390,1,0.175,0.038,-0.762,1,0.369,0.169,0.239,1,0.422,0.177,0.298,1,|,0.452,0.532,0.568,|,0.449,0.512,0.565,|,0.388,0.231,0.364,|,Br,1,openbabel,0.900,true,8,2.400,6.000,57.000,7.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205469,completed,Results,Missing,true,Autogrid,36,6,True,0.257,-0.058,-0.247,1,0.534,0.344,0.731,1,0.872,0.574,0.749,3,0.725,0.350,0.875,2,|,0.567,0.817,0.650,|,0.642,0.825,0.708,|,0.535,0.627,0.595,|,Br,1,gasteiger,0.300,true,8,1.100,5.000,22.000,22.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205471,completed,Results,Missing,true,TRIPOS,36,6,True,0.684,0.127,0.197,2,0.442,-0.345,0.604,1,0.368,0.038,-0.018,1,0.769,0.264,0.178,2,|,0.509,0.452,0.505,|,0.434,0.387,0.470,|,0.347,0.467,0.431,|,S.o,1,eem,0.100,true,8,2.300,5.000,64.000,13.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205472,completed,Results,Missing,true,TRIPOS,36,6,True,0.668,0.142,-0.240,2,0.530,0.201,0.818,2,0.786,0.157,0.547,3,0.757,0.318,0.742,2,|,0.545,0.828,0.656,|,0.492,0.763,0.598,|,0.470,0.596,0.510,|,S.o,1,gasteiger,0.600,true,8,2.300,4.000,18.000,30.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205473,completed,Results,Missing,true,TRIPOS,36,6,True,0.381,-0.006,-0.080,1,0.549,0.236,0.370,2,0.750,0.326,0.626,2,0.789,0.344,0.829,2,|,0.563,0.859,0.666,|,0.557,0.805,0.654,|,0.483,0.617,0.573,|,Br,1,openbabel,0.500,true,8,2.400,5.000,54.000,17.000,True,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
